Tau,Router,Seed,P99,P95,SLA (%),Total Regret
20,Round Robin,1,117.9191666666352,113.01187222816102,37.84,79813.66143590497
20,Round Robin,2,111.74322631776379,107.35502875468205,24.175,53074.26785377051
20,Round Robin,3,115.28143690206191,110.77049298055063,30.654999999999998,65521.498014938305
20,Round Robin,4,121.67145656827321,116.72867095875343,19.245,43625.641066820644
20,Round Robin,5,117.10351255061339,112.9906114555422,45.07,96125.22799040508
20,Round Robin,6,113.70546236753664,110.03385002128552,38.45,84367.8004456207
20,Round Robin,7,118.43623946733327,114.28301730444643,45.585,97689.64897646004
20,Round Robin,8,122.80872330607711,118.2692124263276,48.455,104419.9535666143
20,Round Robin,9,113.4736781796595,108.37585893259269,17.945,42273.50233399941
20,Round Robin,10,120.5002099760764,116.39224736248542,36.705,78333.87505903258
20,Round Robin,11,100.27904259276652,95.61959355553248,1.16,6211.610203551476
20,Round Robin,12,112.20587751134346,98.19566484779563,4.324999999999999,13912.85254978119
20,Round Robin,13,119.67074975370998,113.41187207678557,25.505,57140.58648513287
20,Round Robin,14,111.01030434942648,106.32741079162001,17.165,38518.70315421314
20,Round Robin,15,103.48791102562414,98.58444711938348,3.2649999999999997,11848.617146756376
20,Least Connections,1,123.70983483583483,119.33891188402512,30.81,68314.16291635361
20,Least Connections,2,68.41114127379913,64.77878041044855,0.0,1655.01159439044
20,Least Connections,3,100.49304581773264,97.08503066620975,1.3050000000000002,11906.166291027987
20,Least Connections,4,75.3940048263646,71.85761086227271,0.0,1969.2236113070344
20,Least Connections,5,107.61933002552068,104.05262343068222,20.645,48802.32778434335
20,Least Connections,6,72.71758137337217,69.44276860430303,0.0,4079.288884305817
20,Least Connections,7,120.97716553941086,117.62931254149915,84.74000000000001,176137.57366292094
20,Least Connections,8,59.961592664603934,56.59140447853137,0.0,1623.5163963930195
20,Least Connections,9,101.46292708211158,97.93626983254755,1.96,8208.042922272325
20,Least Connections,10,89.67107532225106,86.2263887281864,0.0,5959.14061580922
20,Least Connections,11,110.35679426924162,106.92466603798687,33.300000000000004,73720.11520273224
20,Least Connections,12,103.13903049929773,97.81392527071907,2.595,12468.899636378
20,Least Connections,13,108.34847933211796,104.91229999970246,25.735000000000003,59313.93179014985
20,Least Connections,14,122.21501989680178,118.44563762318627,97.195,204496.75230686646
20,Least Connections,15,77.98146022427855,74.31823067352107,0.0,3595.3763748028596
20,Pure DQN,1,95.62766830976123,89.2904894049996,0.215,3524.1350304164357
20,Pure DQN,2,116.11345428614885,101.36341401006335,5.52,13890.089424476626
20,Pure DQN,3,98.10597758455073,90.8433740231025,0.54,4275.151977444968
20,Pure DQN,4,107.93236881936512,98.38847302881634,3.9,10711.108088354187
20,Pure DQN,5,116.42857355371461,104.16285145463881,6.2700000000000005,15213.738216081743
20,Pure DQN,6,110.07001724641049,104.45332871310582,12.5,25759.85929636349
20,Pure DQN,7,115.18538168649073,99.90897410706432,5.0,13334.305020177986
20,Pure DQN,8,97.90493317294884,88.64463062669498,0.615,4290.323145544479
20,Pure DQN,9,113.32351104588422,91.95754343621672,3.6450000000000005,10866.594609598968
20,Pure DQN,10,106.58305902741762,95.53074989624754,3.015,9058.487007170485
20,Pure DQN,11,112.99914816014605,101.24068867912332,5.48,13576.86952747095
20,Pure DQN,12,108.95481456728874,99.03484511038435,4.52,11728.1092061555
20,Pure DQN,13,101.63492205995487,80.12376390517329,1.335,5370.4518205363875
20,Pure DQN,14,105.40057430934614,94.23864483164199,2.65,7921.629323266233
20,Pure DQN,15,102.98122218200936,92.1638719984237,1.96,6735.150596418807
20,Eps-Greedy DQN,1,100.31089883052123,93.79266667620463,1.06,4806.7337297744125
20,Eps-Greedy DQN,2,104.96996865387226,91.8868226543443,1.765,6431.258083720186
20,Eps-Greedy DQN,3,106.11502004486518,85.62622080997298,2.625,7356.363732565101
20,Eps-Greedy DQN,4,109.23632273493818,93.41095844769849,2.375,6989.981207151968
20,Eps-Greedy DQN,5,110.50792703165354,97.54984044113692,4.2700000000000005,11066.924606518693
20,Eps-Greedy DQN,6,114.51986614863974,94.6500195418686,3.215,9338.89779979778
20,Eps-Greedy DQN,7,96.14437357257027,75.24000842449442,0.72,3704.5842235295127
20,Eps-Greedy DQN,8,112.3211317036251,90.00424294473899,3.115,8720.147106455695
20,Eps-Greedy DQN,9,99.36857270503423,74.21907616198736,0.935,4726.242912636097
20,Eps-Greedy DQN,10,96.00241801038433,85.16692019584663,0.915,4121.347485587597
20,Eps-Greedy DQN,11,115.69508696555575,91.75109643938858,3.295,9039.149406370061
20,Eps-Greedy DQN,12,98.43221041150471,86.88673189123206,0.765,3972.5184445144187
20,Eps-Greedy DQN,13,102.27693944051094,87.33882613141375,1.6549999999999998,5641.772466139383
20,Eps-Greedy DQN,14,108.8759728007564,87.37370810381664,1.855,6146.89385892923
20,Eps-Greedy DQN,15,110.02145789751813,95.11260470058305,3.175,9186.533110751938
20,Heuristic Only,1,113.65638943513854,103.37545371752091,12.98,33670.47174250608
20,Heuristic Only,2,116.64179114006028,113.23757071336857,79.045,166796.09857219114
20,Heuristic Only,3,109.8145452853627,86.75428624023237,2.76,9179.59108091623
20,Heuristic Only,4,111.77188588222522,107.81894803995493,38.615,85717.60919157676
20,Heuristic Only,5,120.6623685906655,117.23943191336473,67.77,143148.78895286872
20,Heuristic Only,6,98.47545922223787,80.61489407537286,0.8,4374.935637789561
20,Heuristic Only,7,126.18855930991083,122.7927567294792,89.445,191027.11236169797
20,Heuristic Only,8,109.3967173721208,98.37199250229784,4.405,11404.129867116042
20,Heuristic Only,9,104.02333096061388,99.57489372684967,4.245,15165.801039383407
