Tau,Router,Seed,P99,P95,SLA (%),Total Regret
120,Round Robin,1,117.9191666666352,113.01187222816102,37.84,79813.66143590497
120,Round Robin,2,111.74322631776379,107.35502875468205,24.175,53074.26785377051
120,Round Robin,3,115.28143690206191,110.77049298055063,30.654999999999998,65521.498014938305
120,Round Robin,4,121.67145656827321,116.72867095875343,19.245,43625.641066820644
120,Round Robin,5,117.10351255061339,112.9906114555422,45.07,96125.22799040508
120,Round Robin,6,113.70546236753664,110.03385002128552,38.45,84367.8004456207
120,Round Robin,7,118.43623946733327,114.28301730444643,45.585,97689.64897646004
120,Round Robin,8,122.80872330607711,118.2692124263276,48.455,104419.9535666143
120,Round Robin,9,113.4736781796595,108.37585893259269,17.945,42273.50233399941
120,Round Robin,10,120.5002099760764,116.39224736248542,36.705,78333.87505903258
120,Round Robin,11,100.27904259276652,95.61959355553248,1.16,6211.610203551476
120,Round Robin,12,112.20587751134346,98.19566484779563,4.324999999999999,13912.85254978119
120,Round Robin,13,119.67074975370998,113.41187207678557,25.505,57140.58648513287
120,Round Robin,14,111.01030434942648,106.32741079162001,17.165,38518.70315421314
120,Round Robin,15,103.48791102562414,98.58444711938348,3.2649999999999997,11848.617146756376
120,Least Connections,1,123.70983483583483,119.33891188402512,30.81,68314.16291635361
120,Least Connections,2,68.41114127379913,64.77878041044855,0.0,1655.01159439044
120,Least Connections,3,100.49304581773264,97.08503066620975,1.3050000000000002,11906.166291027987
120,Least Connections,4,75.3940048263646,71.85761086227271,0.0,1969.2236113070344
120,Least Connections,5,107.61933002552068,104.05262343068222,20.645,48802.32778434335
120,Least Connections,6,72.71758137337217,69.44276860430303,0.0,4079.288884305817
120,Least Connections,7,120.97716553941086,117.62931254149915,84.74000000000001,176137.57366292094
120,Least Connections,8,59.961592664603934,56.59140447853137,0.0,1623.5163963930195
120,Least Connections,9,101.46292708211158,97.93626983254755,1.96,8208.042922272325
120,Least Connections,10,89.67107532225106,86.2263887281864,0.0,5959.14061580922
120,Least Connections,11,110.35679426924162,106.92466603798687,33.300000000000004,73720.11520273224
120,Least Connections,12,103.13903049929773,97.81392527071907,2.595,12468.899636378
120,Least Connections,13,108.34847933211796,104.91229999970246,25.735000000000003,59313.93179014985
120,Least Connections,14,122.21501989680178,118.44563762318627,97.195,204496.75230686646
120,Least Connections,15,77.98146022427855,74.31823067352107,0.0,3595.3763748028596
120,Pure DQN,1,95.95901037353498,89.62484527828613,0.22999999999999998,3599.371015264771
120,Pure DQN,2,115.98942647635786,100.68936952831838,5.2299999999999995,13259.709792611307
120,Pure DQN,3,98.03573862159429,90.7619742201136,0.555,4308.824064756754
120,Pure DQN,4,108.64879692349251,98.07139314193965,3.875,10748.749405765293
120,Pure DQN,5,116.54890397469366,104.55683113638358,6.4,15509.381661427215
120,Pure DQN,6,109.8965869700011,104.32870817336907,12.13,25025.912377777484
120,Pure DQN,7,115.19132288728643,99.87556259994258,4.984999999999999,13220.987560153073
120,Pure DQN,8,97.85608438817778,88.33998769900961,0.6,4157.298390914896
120,Pure DQN,9,113.22170441959595,91.62628186033321,3.585,10636.25554169376
120,Pure DQN,10,106.52947947032425,95.50295692301908,2.9899999999999998,9014.792724249108
120,Pure DQN,11,112.99914816014605,101.4222202600083,5.65,13965.432330458467
120,Pure DQN,12,108.95481456728874,99.04807849283408,4.535,11746.11528427644
120,Pure DQN,13,101.63492205995487,79.69234190587136,1.335,5363.176462539035
120,Pure DQN,14,105.18381484368388,94.16356363196783,2.56,7749.429352866882
120,Pure DQN,15,102.9522595479735,91.7163532911042,1.8950000000000002,6609.189873855979
120,Eps-Greedy DQN,1,100.18218430890346,93.62097778450133,1.02,4693.585928124521
120,Eps-Greedy DQN,2,105.02366744738727,91.0497391522303,1.725,6283.583303521611
120,Eps-Greedy DQN,3,106.00506042281339,84.18395717203884,2.565,7219.828043593923
120,Eps-Greedy DQN,4,109.23632273493818,92.74685589526214,2.32,6815.259736447841
120,Eps-Greedy DQN,5,110.39635928087303,97.54624716004233,4.22,10974.868743185969
120,Eps-Greedy DQN,6,114.51986614863974,94.88222146668609,3.25,9467.381511619435
120,Eps-Greedy DQN,7,96.50654860027666,75.3761342523516,0.755,3803.3908226034973
120,Eps-Greedy DQN,8,111.11851841166816,89.79429079076662,2.86,8193.842825337726
120,Eps-Greedy DQN,9,99.3037771443511,74.45882016659256,0.9299999999999999,4727.462051925811
120,Eps-Greedy DQN,10,96.05167140177556,85.28378131459472,0.9249999999999999,4151.455147130902
120,Eps-Greedy DQN,11,115.6829930440133,91.2916287643044,3.2800000000000002,8958.858369152296
120,Eps-Greedy DQN,12,98.66801416393068,87.81141247603901,0.77,4003.935906193206
120,Eps-Greedy DQN,13,102.13762573646265,88.13680506455886,1.585,5562.420210786622
120,Eps-Greedy DQN,14,108.66513326712621,87.85216563850794,1.755,5984.251221118997
120,Eps-Greedy DQN,15,110.02145789751813,94.76968798654511,3.1300000000000003,9120.05783291153
120,Heuristic Only,1,113.65638943513854,103.37545371752091,12.98,33670.47174250608
120,Heuristic Only,2,116.64179114006028,113.23757071336857,79.045,166796.09857219114
120,Heuristic Only,3,109.8145452853627,86.75428624023237,2.76,9179.59108091623
120,Heuristic Only,4,111.77188588222522,107.81894803995493,38.615,85717.60919157676
120,Heuristic Only,5,120.6623685906655,117.23943191336473,67.77,143148.78895286872
120,Heuristic Only,6,98.47545922223787,80.61489407537286,0.8,4374.935637789561
120,Heuristic Only,7,126.18855930991083,122.7927567294792,89.445,191027.11236169797
120,Heuristic Only,8,109.3967173721208,98.37199250229784,4.405,11404.129867116042
120,Heuristic Only,9,104.02333096061388,99.57489372684967,4.245,15165.801039383407
120,Heuristic Only,10,124.10170132035661,120.59163104025879,69.265,148403.103923047
120,Heuristic Only,11,110.3296594908627,105.78457015484048,23.665,52387.18911360979
120,Heuristic Only,12,100.23376384967354,95.94891702124333,1.095,5517.811353905038
120,Heuristic Only,13,94.8657504108063,91.32903416485706,0.055,7239.81853117242
120,Heuristic Only,14,122.42312528143113,118.7933949086502,89.31,189430.9399175144
120,Heuristic Only,15,97.89539128954765,76.6148772771432,0.6649999999999999,3381.663538476341
120,RL Only,1,103.4961796168914,89.42929272533844,1.7000000000000002,5962.593080904622
120,RL Only,2,97.81523535674903,88.25279656860754,0.515,3973.1427120251956
120,RL Only,3,102.16319233785269,92.944723903884,1.46,5372.149527531001
120,RL Only,4,94.4765873966935,84.32261082968223,0.37,3384.1320480967834
120,RL Only,5,99.74981454024373,92.06972293130339,0.935,4554.5855192666
120,RL Only,6,96.11647376197182,87.1682270340301,0.48,3570.0349384342007
120,RL Only,7,98.18277000343822,90.9402226469064,0.545,4533.225677174561
120,RL Only,8,108.03097666576951,92.745482771926,1.9349999999999998,6609.23576689969
120,RL Only,9,106.68220720264083,97.29679195907767,3.1350000000000002,8406.921257469468
120,RL Only,10,104.08010604497156,92.93233662450025,2.31,7222.002807814038
120,RL Only,11,100.90250515187286,94.43249273769105,1.365,6377.769302626163
120,RL Only,12,80.76007479107001,74.21145241977194,0.0,2542.9438742313205
120,RL Only,13,98.75324603248517,89.93870490486806,0.8250000000000001,4347.7303218301295
120,RL Only,14,105.46169993873347,90.62019052476563,1.69,5739.030330173166
120,RL Only,15,96.3528646968118,89.81590502840646,0.48,3937.4775418085187
120,Static Hybrid,1,98.90923872991031,92.91631463047605,0.675,4073.38380468964
120,Static Hybrid,2,106.22689759867815,95.01534282195871,3.01,9216.07381408502
120,Static Hybrid,3,102.29318771014933,94.0027257552281,1.6650000000000003,6843.801936214266
120,Static Hybrid,4,94.32886923307761,79.65787772340346,0.5,3736.5874138721265
120,Static Hybrid,5,103.20912957281863,97.10585098085012,2.6100000000000003,7917.692734463184
120,Static Hybrid,6,107.11588609429435,94.62950218659769,2.97,8302.780457429051
120,Static Hybrid,7,113.10572451331532,98.72222098620952,4.29,11299.059118123223
120,Static Hybrid,8,102.79239297643407,92.83208265945916,1.8399999999999999,6162.214674807514
120,Static Hybrid,9,108.55084472963205,92.82511701102419,3.1399999999999997,9978.483882784156
120,Static Hybrid,10,106.15664180998482,97.066989096105,3.4799999999999995,9172.138283905922
120,Static Hybrid,11,113.96267365862053,102.67662831846158,5.949999999999999,14689.075246530716
120,Static Hybrid,12,108.82958547273834,98.55402971662343,4.3999999999999995,10966.33821920433
120,Static Hybrid,13,109.38274907178368,100.66916300402477,5.7250000000000005,13920.17249289099
120,Static Hybrid,14,109.91214957197465,92.66031369933962,2.895,8684.248425605014
120,Static Hybrid,15,109.36561349739586,99.26930320635991,4.775,12159.72022366405
120,CGAR (Adaptive),1,94.17517361857139,77.30732333239781,0.33,3639.397404075658
120,CGAR (Adaptive),2,103.08886270881987,87.07074739620344,1.525,5578.556458319787
120,CGAR (Adaptive),3,111.95949583893888,83.88263263605324,2.5100000000000002,7844.553264204356
120,CGAR (Adaptive),4,109.14799698464493,87.03994543067711,2.405,8448.154373372206
120,CGAR (Adaptive),5,111.03688444938909,89.50747116834125,2.595,7717.944710521723
120,CGAR (Adaptive),6,93.24713130157306,72.08085940799504,0.23500000000000001,2938.1260052536854
120,CGAR (Adaptive),7,95.97105282660337,78.96673934382238,0.4,3003.6068952410287
120,CGAR (Adaptive),8,113.83740859564206,99.40216454136147,4.7,11875.471850753247
120,CGAR (Adaptive),9,115.09750493777712,99.364644956552,4.89,12321.563442736126
120,CGAR (Adaptive),10,93.26233617408612,87.7517450200664,0.034999999999999996,2469.770633606074
120,CGAR (Adaptive),11,101.69591436787029,94.0381125452069,1.63,5404.722435547247
120,CGAR (Adaptive),12,105.80097154774052,92.92956153037781,2.355,7605.657807929739
120,CGAR (Adaptive),13,102.53214330806614,85.6090935840252,1.225,5399.266198642829
120,CGAR (Adaptive),14,97.7365867955867,82.98200196873968,0.72,3375.4724410595854
120,CGAR (Adaptive),15,103.86932984961186,75.29748739821052,1.76,5896.101213053297
